round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7650355306625367,0.3668,135.48429554300674,0.022511999999999994,14070000,14070000,6
2,,,1.5020918939590455,0.4571,134.32742276399222,0.022511999999999994,14070000,14070000,6
3,,,1.375381594657898,0.5001,134.49722323899914,0.022511999999999994,14070000,14070000,6
4,,,1.2838541898727418,0.537,134.38302425999427,0.022511999999999994,14070000,14070000,6
5,,,1.1913875909805298,0.5774,135.2591432199988,0.022511999999999994,14070000,14070000,6
6,,,1.1040158473968507,0.608,134.77784775399778,0.022511999999999994,14070000,14070000,6
7,,,1.0366058460235597,0.6419,136.15477396099595,0.022511999999999994,14070000,14070000,6
8,,,0.9848522753715515,0.6609,134.23790783400182,0.022511999999999994,14070000,14070000,6
9,,,0.9466089965820312,0.6721,135.3128471759992,0.022511999999999994,14070000,14070000,6
10,,,0.9043493594169617,0.686,134.10262017400237,0.022511999999999994,14070000,14070000,6
