round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.0781200384259224,0.9761,169.54534102099933,0.06387340799999998,39920880,39920880,6
2,,,0.04647966444408521,0.9836,166.227612046001,0.06387340799999998,39920880,39920880,6
3,,,0.03537469469974749,0.9888,168.55647706300078,0.06387340799999998,39920880,39920880,6
4,,,0.030488792643044143,0.9889,168.03082938900116,0.06387340799999998,39920880,39920880,6
5,,,0.030154887615004556,0.9908,166.91829007900014,0.06387340799999998,39920880,39920880,6
6,,,0.024036516031832433,0.9909,165.5141490850001,0.06387340799999998,39920880,39920880,6
7,,,0.02286007923517609,0.9918,165.73143083499963,0.06387340799999998,39920880,39920880,6
8,,,0.02094565214117174,0.9917,166.772988085002,0.06387340799999998,39920880,39920880,6
9,,,0.020450461219716817,0.9927,165.20272894899972,0.06387340799999998,39920880,39920880,6
10,,,0.02005990342508303,0.9931,165.82033670100282,0.06387340799999998,39920880,39920880,6
