round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.08374635315686464,0.9744,167.53032576500027,0.06387340799999998,39920880,39920880,6
2,,,0.043717951086722315,0.9852,166.88160483799948,0.06387340799999998,39920880,39920880,6
3,,,0.03591337928641587,0.9888,166.1418740529989,0.06387340799999998,39920880,39920880,6
4,,,0.029235996073018758,0.99,167.1715655349999,0.06387340799999998,39920880,39920880,6
5,,,0.027021896803460548,0.9908,167.01104775099884,0.06387340799999998,39920880,39920880,6
6,,,0.02604769679979654,0.9907,166.38681063699914,0.06387340799999998,39920880,39920880,6
7,,,0.022160757862229367,0.9921,164.94066194300103,0.06387340799999998,39920880,39920880,6
8,,,0.021731761802942492,0.9926,166.39219964099902,0.06387340799999998,39920880,39920880,6
9,,,0.02123498072265065,0.9931,165.8858934869986,0.06387340799999998,39920880,39920880,6
10,,,0.020392486804397775,0.9927,166.0336952109992,0.06387340799999998,39920880,39920880,6
