round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7197686382293702,0.3862,134.72759578899786,0.022511999999999994,14070000,14070000,6
2,,,1.482479733467102,0.4635,133.71537318899937,0.022511999999999994,14070000,14070000,6
3,,,1.3717827548980712,0.5041,135.15314981200208,0.022511999999999994,14070000,14070000,6
4,,,1.292369841003418,0.5353,135.1788942730018,0.022511999999999994,14070000,14070000,6
5,,,1.2135287141799926,0.5612,133.661916604,0.022511999999999994,14070000,14070000,6
6,,,1.1155259664535522,0.6029,133.80311013099708,0.022511999999999994,14070000,14070000,6
7,,,1.0486228697776794,0.6374,133.35859588200037,0.022511999999999994,14070000,14070000,6
8,,,0.9875657974243164,0.6548,134.45950770299896,0.022511999999999994,14070000,14070000,6
9,,,0.9558805378913879,0.6663,134.32842930399784,0.022511999999999994,14070000,14070000,6
10,,,0.9133973385810852,0.6795,133.60728623899922,0.022511999999999994,14070000,14070000,6
